N = 3000
dimX = 3
dimY = 3
dimA1= 1
X1	X2	X3	Y1	Y2	Y3	F1	F2	F3	A11	A12	A13	P11	P12	P13	P21	P22	P23	P31	P32	P33	
-0.26197	-0.37784	0.10403	0.0084541	0.025161	-0.024319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26175	-0.37694	0.10303	0.0079538	0.024906	-0.015412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26119	-0.37605	0.10236	0.0083532	0.020735	-0.0031715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26108	-0.37549	0.10213	0.0089565	0.013471	0.0089526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26086	-0.37516	0.10291	0.0086994	0.0050688	0.017157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26108	-0.37538	0.10381	0.007986	-0.0015709	0.019645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26086	-0.3756	0.10448	0.0075864	-0.0041833	0.016548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26052	-0.37583	0.10492	0.0067096	-0.0016224	0.0098491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.2603	-0.37605	0.10481	0.004367	0.0051046	0.0029853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26008	-0.37605	0.1047	0.00048671	0.012887	-0.0023718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26008	-0.37594	0.10459	-0.0027363	0.018625	-0.0060236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26019	-0.37527	0.10448	-0.0040245	0.02102	-0.0078445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26052	-0.37449	0.10448	-0.0033974	0.019851	-0.0073541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.26086	-0.37371	0.10425	-0.0011322	0.015695	-0.0037003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
