N = 3000
dimX = 3
dimY = 3
dimA1= 1
X1	X2	X3	Y1	Y2	Y3	F1	F2	F3	A11	A12	A13	P11	P12	P13	P21	P22	P23	P31	P32	P33	
-0.025561	-0.44168	0.10314	0.062212	-0.16265	-0.018331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.024333	-0.44459	0.10347	0.059948	-0.16105	-0.033141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.023775	-0.44794	0.10347	0.043974	-0.16345	-0.064079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.022547	-0.45106	0.10347	0.013015	-0.17111	-0.099415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.02132	-0.45329	0.10247	-0.021203	-0.18125	-0.12646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.020092	-0.4572	0.098227	-0.049537	-0.19118	-0.14369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.02132	-0.46122	0.09298	-0.074837	-0.20324	-0.15968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.025561	-0.46602	0.08885	-0.1001	-0.21812	-0.17838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.028687	-0.47037	0.087176	-0.11718	-0.23112	-0.19043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.029691	-0.47405	0.085948	-0.11216	-0.23717	-0.18714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.031254	-0.47874	0.082265	-0.085766	-0.23403	-0.16861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.034156	-0.48421	0.074898	-0.048564	-0.22489	-0.13765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.037505	-0.49024	0.068759	-0.0061309	-0.21216	-0.09341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.038063	-0.49482	0.067196	0.037245	-0.19781	-0.041132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.036723	-0.49772	0.068647	0.069845	-0.18376	-0.0018628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.033263	-0.50062	0.071326	0.079564	-0.17129	0.002326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.029245	-0.50319	0.073447	0.061279	-0.15963	-0.027958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.026789	-0.50732	0.074005	0.021536	-0.14619	-0.072001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.026901	-0.51145	0.071438	-0.027526	-0.13215	-0.11412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.02824	-0.51457	0.067084	-0.070674	-0.11876	-0.14782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.030696	-0.51647	0.062508	-0.097201	-0.10516	-0.16809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.033375	-0.51669	0.059941	-0.1072	-0.093906	-0.17351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.035942	-0.51848	0.057596	-0.10616	-0.088829	-0.16989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.038174	-0.52094	0.053801	-0.1005	-0.092189	-0.16506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.039737	-0.52317	0.050006	-0.09764	-0.099381	-0.16332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.041635	-0.52518	0.0461	-0.10173	-0.10329	-0.1627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.043197	-0.52629	0.042751	-0.112	-0.10541	-0.16433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.04476	-0.52853	0.04063	-0.12392	-0.11124	-0.17059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.047551	-0.53109	0.037728	-0.13767	-0.12321	-0.18087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.050564	-0.53333	0.034714	-0.15307	-0.13531	-0.18832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.054359	-0.53589	0.029914	-0.16313	-0.1401	-0.18306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.056815	-0.53846	0.025226	-0.16237	-0.13842	-0.16106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.060387	-0.54248	0.020315	-0.15398	-0.13395	-0.13041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.06474	-0.54572	0.016966	-0.14675	-0.12808	-0.1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.067642	-0.54784	0.01652	-0.14743	-0.1209	-0.099165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.069986	-0.54973	0.016966	-0.15469	-0.11112	-0.1082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.071549	-0.55152	0.016855	-0.16819	-0.099281	-0.12735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.074005	-0.55375	0.014064	-0.18581	-0.084842	-0.14797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.078581	-0.55654	0.0080367	-0.20249	-0.067433	-0.16009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.083493	-0.55844	0.0034603	-0.21274	-0.046603	-0.15548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.089074	-0.55911	-0.00022324	-0.21356	-0.022056	-0.13382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.093204	-0.55878	-0.0018976	-0.20977	0.0040234	-0.10563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.096887	-0.55866	-0.003237	-0.20619	0.024964	-0.079913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.10046	-0.55822	-0.0046881	-0.20165	0.036564	-0.059383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
